task_id,title,category,screen,route,page_entry,depends_on,priority,detail_file_exists,wave_id
CI-PIPELINE,Lint/Typecheck/Unit 파이프라인,CI,,,,,P1,Y,W01
CMP-SCR001-DESTINATION-DRAWER,여행지 상세 Drawer(+ 안전정보 전환),COMPONENT,SCR-001,,,DATA-DESTINATIONS;DATA-SAFETY,P0,Y,W07
CMP-SCR001-DESTINATION-GRID,국내/해외 여행지 Card Grid + 필터,COMPONENT,SCR-001,,,DATA-DESTINATIONS,P0,Y,W07
CMP-SCR001-FAVORITES,즐겨찾기 토글,COMPONENT,SCR-001,,,,P2,Y,W07
CMP-SCR001-RECENT-MATES,최근 동행 이야기 미리보기,COMPONENT,SCR-001,,,DB-ACCESS,P1,Y,W07
CMP-SCR001-SAFETY-PANEL,국가 안전정보 패널,COMPONENT,SCR-001,,,DATA-SAFETY,P1,Y,W07
CMP-SCR001-SEARCH-HERO,검색 Hero,COMPONENT,SCR-001,,,DATA-DESTINATIONS,P0,Y,W07
CMP-SCR001-SHARE,공유 버튼,COMPONENT,SCR-001,,,,P2,Y,W07
CMP-SCR002-COUNTRY-CHIPS,방문 국가 Chip,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P2,Y,W09
CMP-SCR002-GALLERY,여행 사진 Gallery,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P1,Y,W09
CMP-SCR002-MEMORABLE-CTA,기억에 남는 여행지 + CTA,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P1,Y,W09
CMP-SCR002-PHILOSOPHY,소개·철학,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P1,Y,W09
CMP-SCR002-PROFILE-HERO,대표 Hero,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P1,Y,W09
CMP-SCR002-STATS,여행 지표 카드,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P1,Y,W09
CMP-SCR002-TIMELINE,여행 타임라인,COMPONENT,SCR-002,,,DATA-REPRESENTATIVE,P1,Y,W09
CMP-SCR003-FLIGHT-FORM,항공 조건 Form + 요약 + 외부 이동,COMPONENT,SCR-003,,,,P0,Y,W11
CMP-SCR003-HOTEL-FORM,숙박 조건 Form + 요약 + 외부 이동,COMPONENT,SCR-003,,,,P0,Y,W11
CMP-SCR003-INTRO,Intro(축소형 Hero),COMPONENT,SCR-003,,,,P0,Y,W11
CMP-SCR003-MATE-COMPOSE,동행 모집글 작성 Form,COMPONENT,SCR-003,,,CMP-SCR005-AUTH;DB-ACCESS,P0,Y,W11
CMP-SCR003-TABS,항공/숙소/동행 탭 셸,COMPONENT,SCR-003,,,CMP-SCR003-FLIGHT-FORM;CMP-SCR003-HOTEL-FORM;CMP-SCR003-MATE-COMPOSE,P0,Y,W12
CMP-SCR003-TIPS,비전달 고지 + 찾기 Tip,COMPONENT,SCR-003,,,,P1,Y,W11
CMP-SCR004-BLOCK,차단 버튼,COMPONENT,SCR-004,,,CMP-SCR005-AUTH;DB-ACCESS,P1,Y,W14
CMP-SCR004-DETAIL,목록+상세 분할/Drawer,COMPONENT,SCR-004,,,DB-ACCESS;CMP-SCR004-LIST,P0,Y,W16
CMP-SCR004-FILTER,검색 Filter + 결과 요약,COMPONENT,SCR-004,,,DB-ACCESS,P0,Y,W14
CMP-SCR004-INTRO,Intro(축소형 Hero),COMPONENT,SCR-004,,,,P1,Y,W14
CMP-SCR004-JOIN-REQUEST,참가 요청 Form,COMPONENT,SCR-004,,,CMP-SCR005-AUTH;DB-ACCESS;CMP-SCR004-DETAIL,P0,Y,W17
CMP-SCR004-LIST,동행글 목록,COMPONENT,SCR-004,,,DB-ACCESS;CMP-SCR004-FILTER,P0,Y,W15
CMP-SCR004-REPORT,신고 버튼/폼,COMPONENT,SCR-004,,,CMP-SCR005-AUTH;DB-ACCESS;CMP-SCR004-DETAIL,P1,Y,W17
